  i|  p|  B 
  265|  1|  0110001101
  266|  2|  0110001111
  267|  1|  0110001110
  268|  2|  0110001010
  269|  1|  0110001011
  270|  2|  0110001001
  271|  1|  0110001000
  272|  2|  0110011000
  273|  1|  0110011001
  274|  2|  0110011011
  275|  1|  0110011010
  276|  2|  0110011110
  277|  1|  0110011111
  278|  2|  0110011101
  279|  1|  0110011100
  280|  2|  0110010100
  281|  1|  0110010101
  282|  2|  0110010111
  283|  1|  0110010110
  284|  2|  0110010010
  285|  1|  0110010011
  286|  2|  0110010001
  287|  1|  0110010000
  288|  2|  0110110000
  289|  1|  0110110001
  290|  2|  0110110011
  291|  1|  0110110010
  292|  2|  0110110110
  293|  1|  0110110111
  294|  2|  0110110101
  295|  1|  0110110100
  296|  2|  0110111100
  297|  1|  0110111101
  298|  2|  0110111111
  299|  1|  0110111110
  300|  2|  0110111010
  301|  1|  0110111011
  302|  2|  0110111001
  303|  1|  0110111000
  304|  2|  0110101000
  305|  1|  0110101001
  306|  2|  0110101011
  307|  1|  0110101010
  308|  2|  0110101110
  309|  1|  0110101111
  310|  2|  0110101101
  311|  1|  0110101100
  312|  2|  0110100100
  313|  1|  0110100101
  314|  2|  0110100111
  315|  1|  0110100110
  316|  2|  0110100010
  317|  1|  0110100011
  318|  2|  0110100001
  319|  1|  0110100000
  320|  2|  0111100000
  321|  1|  0111100001
  322|  2|  0111100011
  323|  1|  0111100010
  324|  2|  0111100110
  325|  1|  0111100111
  326|  2|  0111100101
  327|  1|  0111100100
  328|  2|  0111101100
  329|  1|  0111101101
  330|  2|  0111101111
  331|  1|  0111101110
  332|  2|  0111101010
  333|  1|  0111101011
  334|  2|  0111101001
  335|  1|  0111101000
  336|  2|  0111111000
  337|  1|  0111111001
  338|  2|  0111111011
  339|  1|  0111111010
  340|  2|  0111111110
  341|  1|  0111111111
  342|  2|  0111111101
  343|  1|  0111111100
  344|  2|  0111110100
  345|  1|  0111110101
  346|  2|  0111110111
  347|  1|  0111110110
  348|  2|  0111110010
  349|  1|  0111110011
  350|  2|  0111110001
  351|  1|  0111110000
  352|  2|  0111010000
  353|  1|  0111010001
  354|  2|  0111010011
  355|  1|  0111010010
  356|  2|  0111010110
  357|  1|  0111010111
  358|  2|  0111010101
  359|  1|  0111010100
  360|  2|  0111011100
  361|  1|  0111011101
  362|  2|  0111011111
  363|  1|  0111011110
  364|  2|  0111011010
  365|  1|  0111011011
  366|  2|  0111011001
  367|  1|  0111011000
  368|  2|  0111001000
  369|  1|  0111001001
  370|  2|  0111001011
  371|  1|  0111001010
  372|  2|  0111001110
  373|  1|  0111001111
  374|  2|  0111001101
  375|  1|  0111001100
  376|  2|  0111000100
  377|  1|  0111000101
  378|  2|  0111000111
  379|  1|  0111000110
  380|  2|  0111000010
  381|  1|  0111000011
  382|  2|  0111000001
  383|  1|  0111000000
  384|  2|  0101000000
  385|  1|  0101000001
  386|  2|  0101000011
  387|  1|  0101000010
  388|  2|  0101000110
  389|  1|  0101000111
  390|  2|  0101000101
  391|  1|  0101000100
  392|  2|  0101001100
  393|  1|  0101001101
  394|  2|  0101001111
  395|  1|  0101001110
  396|  2|  0101001010
  397|  1|  0101001011
  398|  2|  0101001001
  399|  1|  0101001000
  400|  2|  0101011000
  401|  1|  0101011001
  402|  2|  0101011011
  403|  1|  0101011010
  404|  2|  0101011110
  405|  1|  0101011111
  406|  2|  0101011101
  407|  1|  0101011100
  408|  2|  0101010100
  409|  1|  0101010101
  410|  2|  0101010111
  411|  1|  0101010110
  412|  2|  0101010010
  413|  1|  0101010011
  414|  2|  0101010001
  415|  1|  0101010000
  416|  2|  0101110000
  417|  1|  0101110001
  418|  2|  0101110011
  419|  1|  0101110010
  420|  2|  0101110110
  421|  1|  0101110111
  422|  2|  0101110101
  423|  1|  0101110100
  424|  2|  0101111100
  425|  1|  0101111101
  426|  2|  0101111111
  427|  1|  0101111110
  428|  2|  0101111010
  429|  1|  0101111011
  430|  2|  0101111001
  431|  1|  0101111000
  432|  2|  0101101000
  433|  1|  0101101001
  434|  2|  0101101011
  435|  1|  0101101010
  436|  2|  0101101110
  437|  1|  0101101111
  438|  2|  0101101101
  439|  1|  0101101100
  440|  2|  0101100100
  441|  1|  0101100101
  442|  2|  0101100111
  443|  1|  0101100110
  444|  2|  0101100010
  445|  1|  0101100011
  446|  2|  0101100001
  447|  1|  0101100000
  448|  2|  0100100000
  449|  1|  0100100001
  450|  2|  0100100011
  451|  1|  0100100010
  452|  2|  0100100110
  453|  1|  0100100111
  454|  2|  0100100101
  455|  1|  0100100100
  456|  2|  0100101100
  457|  1|  0100101101
  458|  2|  0100101111
  459|  1|  0100101110
  460|  2|  0100101010
  461|  1|  0100101011
  462|  2|  0100101001
  463|  1|  0100101000
  464|  2|  0100111000
  465|  1|  0100111001
  466|  2|  0100111011
  467|  1|  0100111010
  468|  2|  0100111110
  469|  1|  0100111111
  470|  2|  0100111101
  471|  1|  0100111100
  472|  2|  0100110100
  473|  1|  0100110101
  474|  2|  0100110111
  475|  1|  0100110110
  476|  2|  0100110010
  477|  1|  0100110011
  478|  2|  0100110001
  479|  1|  0100110000
  480|  2|  0100010000
  481|  1|  0100010001
  482|  2|  0100010011
  483|  1|  0100010010
  484|  2|  0100010110
  485|  1|  0100010111
  486|  2|  0100010101
  487|  1|  0100010100
  488|  2|  0100011100
  489|  1|  0100011101
  490|  2|  0100011111
  491|  1|  0100011110
  492|  2|  0100011010
  493|  1|  0100011011
  494|  2|  0100011001
  495|  1|  0100011000
  496|  2|  0100001000
  497|  1|  0100001001
  498|  2|  0100001011
  499|  1|  0100001010
  500|  2|  0100001110
  501|  1|  0100001111
  502|  2|  0100001101
  503|  1|  0100001100
  504|  2|  0100000100
  505|  1|  0100000101
  506|  2|  0100000111
  507|  1|  0100000110
  508|  2|  0100000010
  509|  1|  0100000011
  510|  2|  0100000001
  511|  1|  0100000000
  512|  10|  1100000000
  513|  1|  1100000001
  514|  2|  1100000011
  515|  1|  1100000010
  516|  2|  1100000110
  517|  1|  1100000111
  518|  2|  1100000101
  519|  1|  1100000100
  520|  2|  1100001100
  521|  1|  1100001101
  522|  2|  1100001111
  523|  1|  1100001110
  524|  2|  1100001010
  525|  1|  1100001011
  526|  2|  1100001001
  527|  1|  1100001000
  528|  2|  1100011000
  529|  1|  1100011001
  530|  2|  1100011011
  531|  1|  1100011010
  532|  2|  1100011110
  533|  1|  1100011111
  534|  2|  1100011101
  535|  1|  1100011100
  536|  2|  1100010100
  537|  1|  1100010101
  538|  2|  1100010111
  539|  1|  1100010110
  540|  2|  1100010010
  541|  1|  1100010011
  542|  2|  1100010001
  543|  1|  1100010000
  544|  2|  1100110000
  545|  1|  1100110001
  546|  2|  1100110011
  547|  1|  1100110010
  548|  2|  1100110110
  549|  1|  1100110111
  550|  2|  1100110101
  551|  1|  1100110100
  552|  2|  1100111100
  553|  1|  1100111101
  554|  2|  1100111111
  555|  1|  1100111110
  556|  2|  1100111010
